"","project","language","article","access","agent","granularity","date","views"
"240","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-02-25,2383
"241","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-02-26,2121
"242","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-02-27,2079
"243","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-02-28,2124
"244","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-02-29,1849
"245","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-03-01,1974
"246","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-03-02,1758
"247","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-03-03,1823
"248","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-03-04,1820
"249","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-03-05,1681
"250","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-03-06,1673
"251","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-03-07,2122
"252","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-03-08,2197
"253","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-03-09,2364
"254","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-03-10,2055
"255","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-03-11,1848
"256","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-03-12,1500
"257","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-03-13,1742
"258","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-03-14,1919
"259","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-03-15,1675
"260","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-03-16,1775
"261","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-03-17,1750
"262","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-03-18,1690
"263","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-03-19,1965
"264","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-03-20,1534
"265","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-03-21,1469
"266","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-03-22,1566
"267","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-03-23,1877
"268","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-03-24,1811
"269","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-03-25,1812
"270","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-03-26,1550
"271","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-03-27,1740
"272","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-03-28,2156
"273","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-03-29,2013
"274","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-03-30,1675
"275","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-03-31,1611
"276","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-04-01,1460
"277","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-04-02,1546
"278","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-04-03,1559
"279","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-04-04,1885
"280","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-04-05,2083
"281","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-04-06,2131
"282","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-04-07,2333
"283","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-04-08,2151
"284","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-04-09,1567
"285","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-04-10,1908
"286","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-04-11,2049
"287","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-04-12,2078
"288","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-04-13,2170
"289","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-04-14,2212
"290","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-04-15,2135
"291","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-04-16,1773
"292","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-04-17,1831
"293","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-04-18,2113
"294","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-04-19,2079
"295","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-04-20,2036
"296","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-04-21,1787
"297","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-04-22,1651
"298","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-04-23,1481
"299","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-04-24,1610
"300","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-04-25,1876
"301","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-04-26,2164
"302","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-04-27,1967
"303","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-04-28,4087
"304","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-04-29,1625
"305","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-04-30,1290
"306","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-05-01,1487
"307","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-05-02,1878
